iter	Passed	Remaining
407	4647	109273
408	4658	109236
409	4666	109151
410	4678	109144
411	4691	109180
412	4705	109230
413	4717	109228
414	4724	109120
415	4732	109039
416	4742	108986
417	4757	109060
418	4766	108987
419	4775	108937
420	4782	108819
421	4791	108758
422	4799	108666
423	4811	108667
424	4819	108589
425	4825	108455
426	4842	108555
427	4850	108473
428	4863	108504
429	4873	108456
430	4886	108495
431	4892	108363
432	4899	108258
433	4907	108169
434	4918	108139
435	4925	108042
436	4941	108139
437	4952	108125
438	4964	108112
439	4977	108154
440	4991	108195
441	5000	108125
442	5008	108044
443	5024	108129
444	5036	108153
445	5047	108120
446	5056	108060
447	5063	107968
448	5069	107845
449	5096	108158
450	5123	108489
451	5130	108375
452	5137	108278
453	5146	108219
454	5155	108147
455	5161	108028
456	5177	108123
457	5187	108084
458	5197	108038
459	5204	107940
460	5214	107896
461	5225	107871
462	5231	107761
463	5237	107636
464	5249	107644
465	5270	107821
466	5278	107750
467	5286	107667
468	5298	107682
469	5307	107619
470	5314	107515
471	5323	107464
472	5330	107366
473	5337	107259
474	5349	107272
475	5375	107557
476	5383	107482
477	5390	107374
478	5400	107345
479	5410	107303
480	5416	107192
481	5426	107149
482	5434	107074
483	5440	106957
484	5451	106957
485	5466	107009
486	5479	107041
487	5491	107035
488	5502	107015
489	5512	106978
490	5518	106870
491	5526	106795
492	5536	106772
493	5549	106783
494	5559	106758
495	5566	106661
496	5576	106629
497	5587	106602
498	5596	106567
499	5609	106574
500	5615	106475
501	5630	106530
502	5641	106524
503	5649	106435
504	5657	106367
505	5668	106348
506	5676	106276
507	5685	106234
508	5691	106132
509	5699	106061
510	5709	106013
511	5716	105929
512	5731	105991
513	5742	105971
514	5753	105965
515	5761	105886
516	5768	105808
517	5778	105771
518	5791	105806
519	5800	105755
520	5807	105661
521	5815	105584
522	5823	105520
523	5839	105599
524	5850	105581
525	5858	105527
526	5867	105475
527	5876	105421
528	5883	105343
529	5890	105252
530	5897	105158
531	5904	105079
532	5917	105101
533	5930	105123
534	5946	105205
535	5960	105247
536	5969	105189
537	5975	105086
538	5984	105038
539	5992	104977
540	6001	104939
541	6010	104884
542	6021	104875
543	6036	104927
544	6046	104892
545	6055	104842
546	6066	104835
547	6076	104806
548	6083	104723
549	6094	104707
550	6102	104648
551	6117	104713
552	6130	104730
553	6136	104637
554	6144	104573
555	6154	104543
556	6163	104486
557	6172	104449
558	6181	104396
559	6188	104318
560	6198	104300
561	6215	104377
562	6224	104334
563	6232	104271
564	6244	104272
565	6270	104517
566	6283	104534
567	6301	104640
568	6311	104605
569	6319	104552
570	6327	104494
571	6336	104446
572	6344	104382
573	6354	104355
574	6361	104268
575	6369	104213
576	6379	104177
577	6398	104294
578	6406	104237
579	6413	104157
580	6420	104083
581	6428	104024
582	6438	103995
583	6445	103927
584	6452	103853
585	6460	103789
586	6466	103697
587	6473	103613
588	6479	103529
589	6486	103457
590	6494	103393
591	6502	103342
592	6509	103255
593	6518	103220
594	6528	103198
595	6542	103225
596	6548	103140
597	6556	103076
598	6564	103021
599	6573	102988
600	6582	102938
601	6588	102856
602	6599	102851
603	6606	102774
604	6613	102704
605	6620	102635
606	6627	102554
607	6641	102591
608	6652	102590
609	6660	102534
610	6688	102776
611	6697	102735
612	6706	102702
613	6713	102632
614	6722	102579
615	6729	102520
616	6741	102517
617	6751	102502
618	6758	102428
619	6767	102388
620	6773	102299
621	6785	102303
622	6798	102326
623	6812	102357
624	6823	102349
625	6834	102342
626	6841	102276
627	6849	102212
628	6856	102147
629	6863	102081
630	6869	102003
631	6883	102025
632	6894	102024
633	6907	102048
634	6915	101982
635	6921	101914
636	6930	101870
637	6937	101804
638	6944	101737
639	6954	101704
640	6961	101637
641	6967	101556
642	6973	101481
643	6980	101417
644	6990	101385
645	6999	101356
646	7007	101306
647	7024	101376
648	7036	101379
649	7043	101313
650	7052	101280
651	7060	101232
652	7067	101170
653	7075	101108
654	7083	101063
655	7092	101020
656	7100	100980
657	7107	100905
658	7114	100839
659	7123	100809
660	7130	100741
661	7137	100677
662	7147	100657
663	7157	100638
664	7166	100600
665	7173	100541
666	7181	100493
667	7188	100419
668	7200	100428
669	7206	100358
670	7215	100320
671	7226	100309
672	7237	100305
673	7246	100265
674	7255	100228
675	7261	100155
676	7273	100167
677	7288	100205
678	7294	100137
679	7304	100120
680	7316	100123
681	7323	100053
682	7331	100006
683	7340	99978
684	7348	99924
685	7354	99857
686	7366	99861
687	7376	99833
688	7388	99844
689	7408	99965
690	7419	99951
691	7427	99906
692	7458	100170
693	7468	100152
694	7476	100099
695	7487	100097
696	7496	100062
697	7506	100042
698	7516	100014
699	7525	99977
700	7543	100071
701	7551	100018
702	7561	100002
703	7569	99955
704	7579	99936
705	7586	99864
706	7595	99833
707	7603	99788
708	7612	99751
709	7620	99714
710	7629	99683
711	7637	99631
712	7649	99637
713	7658	99603
714	7666	99557
715	7675	99524
716	7688	99547
717	7705	99617
718	7723	99701
719	7736	99710
720	7746	99700
721	7754	99646
722	7763	99619
723	7771	99564
724	7778	99505
725	7790	99512
726	7801	99509
727	7810	99478
728	7822	99483
729	7830	99435
730	7836	99372
731	7850	99391
732	7863	99416
733	7877	99444
734	7887	99424
735	7893	99361
736	7903	99333
737	7915	99345
738	7928	99360
739	7941	99374
740	7949	99327
741	7956	99280
742	7966	99251
743	7972	99182
744	7984	99184
745	7992	99150
746	8005	99168
747	8015	99137
748	8025	99128
749	8032	99062
750	8039	99009
751	8049	98985
752	8057	98944
753	8067	98923
754	8074	98878
755	8083	98839
756	8092	98808
757	8100	98768
758	8107	98713
759	8117	98696
760	8134	98760
761	8148	98788
762	8156	98741
763	8164	98703
764	8173	98664
765	8184	98666
766	8193	98632
767	8201	98585
768	8211	98565
769	8222	98563
770	8263	98914
771	8275	98923
772	8289	98943
773	8298	98917
774	8317	99006
775	8330	99023
776	8339	98986
777	8347	98944
778	8357	98922
779	8364	98874
780	8372	98834
781	8388	98880
782	8408	98981
783	8417	98946
784	8424	98895
785	8434	98877
786	8444	98850
787	8455	98847
788	8462	98790
789	8469	98743
790	8479	98720
791	8488	98685
792	8496	98648
793	8503	98599
794	8511	98556
795	8518	98495
796	8529	98493
797	8537	98445
798	8553	98494
799	8566	98519
800	8574	98469
801	8594	98572
802	8603	98541
803	8614	98533
804	8623	98496
805	8632	98465
806	8640	98432
807	8648	98383
808	8655	98329
809	8662	98286
810	8670	98239
811	8679	98212
812	8688	98185
813	8700	98181
814	8711	98183
815	8727	98229
816	8738	98220
817	8748	98202
818	8758	98178
819	8765	98129
820	8772	98081
821	8784	98079
822	8791	98027
823	8799	97986
824	8813	98012
825	8826	98029
826	8837	98024
827	8845	97985
828	8852	97933
829	8862	97914
830	8878	97959
831	8889	97950
832	8900	97943
833	8906	97890
834	8918	97886
835	8932	97914
836	8942	97892
837	8948	97835
838	8961	97845
839	8968	97795
840	8974	97739
841	8984	97718
842	8993	97689
843	9001	97655
844	9015	97680
845	9027	97679
846	9034	97626
847	9045	97620
848	9052	97576
849	9066	97596
850	9082	97641
851	9095	97655
852	9114	97742
853	9126	97743
854	9134	97704
855	9146	97704
856	9155	97679
857	9168	97688
858	9179	97682
859	9192	97701
860	9205	97710
861	9216	97702
862	9225	97669
863	9234	97650
864	9245	97635
865	9253	97597
866	9260	97551
867	9268	97516
868	9278	97493
869	9286	97458
870	9299	97470
871	9307	97430
872	9317	97411
873	9325	97374
874	9368	97697
875	9381	97712
876	9398	97768
877	9410	97769
878	9419	97740
879	9431	97744
880	9439	97707
881	9449	97690
882	9457	97646
883	9465	97613
884	9472	97560
885	9479	97517
886	9490	97502
887	9501	97499
888	9509	97454
889	9515	97400
890	9527	97400
891	9535	97366
892	9548	97372
893	9557	97346
894	9574	97401
895	9584	97386
896	9594	97364
897	9603	97335
898	9611	97305
899	9618	97253
900	9626	97211
901	9634	97179
902	9643	97154
903	9652	97121
904	9661	97091
905	9670	97065
906	9675	97002
907	9683	96965
908	9691	96927
909	9701	96909
910	9711	96889
911	9722	96884
912	9729	96838
913	9737	96800
914	9752	96836
915	9763	96825
916	9772	96794
917	9779	96749
918	9789	96735
919	9813	96859
920	9826	96864
921	9837	96863
922	9846	96831
923	9856	96817
924	9867	96806
925	9875	96772
926	9884	96743
927	9891	96694
928	9905	96716
929	9918	96733
930	9928	96712
931	9940	96721
932	9948	96684
933	9956	96645
934	9965	96617
935	9972	96572
936	9980	96537
937	9995	96563
938	10006	96554
939	10015	96533
940	10024	96505
941	10032	96473
942	10045	96486
943	10052	96434
944	10061	96414
945	10068	96365
946	10080	96370
947	10090	96349
948	10097	96302
949	10104	96257
950	10113	96228
951	10122	96204
952	10129	96162
953	10136	96116
954	10183	96454
955	10200	96502
956	10227	96643
957	10234	96593
958	10240	96543
959	10251	96530
960	10258	96488
961	10265	96442
962	10278	96452
963	10286	96417
964	10293	96373
965	10302	96347
966	10308	96296
967	10317	96266
968	10334	96319
969	10342	96283
970	10350	96247
971	10357	96199
972	10363	96151
973	10370	96106
974	10381	96097
975	10391	96075
976	10397	96025
977	10404	95977
978	10412	95949
979	10421	95919
980	10431	95902
981	10437	95854
982	10444	95811
983	10453	95784
984	10465	95779
985	10478	95792
986	10487	95769
987	10494	95729
988	10504	95708
989	10511	95668
990	10525	95685
991	10533	95652
992	10540	95607
993	10550	95590
994	10557	95549
995	10578	95631
996	10590	95635
997	10600	95620
998	10607	95575
999	10615	95543
1000	10624	95510
1001	10630	95462
1002	10637	95415
1003	10646	95395
1004	10653	95353
1005	10663	95334
1006	10670	95294
1007	10678	95255
1008	10685	95217
1009	10693	95181
1010	10700	95140
1011	10711	95131
1012	10720	95105
1013	10730	95091
1014	10737	95048
1015	10745	95019
1016	10757	95016
1017	10769	95022
1018	10778	94999
1019	10791	95006
1020	10800	94982
1021	10811	94975
1022	10820	94955
1023	10829	94924
1024	10837	94895
1025	10847	94882
1026	10855	94846
1027	10867	94843
1028	10876	94820
1029	10885	94796
1030	10893	94765
1031	10904	94759
1032	10916	94760
1033	10928	94762
1034	10973	95046
1035	11006	95235
1036	11015	95209
1037	11025	95194
1038	11032	95150
1039	11041	95124
1040	11052	95116
1041	11061	95093
1042	11068	95052
1043	11075	95012
1044	11088	95017
1045	11107	95078
1046	11120	95090
1047	11127	95048
1048	11137	95033
1049	11146	95008
1050	11158	95009
1051	11168	94996
1052	11176	94959
1053	11185	94941
1054	11193	94903
1055	11200	94867
1056	11208	94832
1057	11217	94807
1058	11224	94768
1059	11236	94769
1060	11249	94780
1061	11256	94739
1062	11263	94692
1063	11273	94680
1064	11283	94665
1065	11296	94672
1066	11303	94636
1067	11311	94597
1068	11321	94585
1069	11343	94671
1070	11353	94656
1071	11362	94628
1072	11369	94589
1073	11380	94586
1074	11391	94579
1075	11399	94546
1076	11408	94521
1077	11416	94484
1078	11425	94464
1079	11436	94456
1080	11443	94416
1081	11451	94387
1082	11460	94363
1083	11467	94324
1084	11474	94283
1085	11481	94244
1086	11490	94216
1087	11498	94190
1088	11509	94179
1089	11516	94138
